District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Gir Somnath,163331,164266,165486,166164,166369,167785,169438,171264,171806,173452,176579,178835,181474,181919,182065,182065,182065,182065,182065,182316,182796,183110,183390,183643,184134,184392,185755,187538,189250,189793,191311,193139,194363,195691,199534,204132,206987,210990,215570,219873,224535,228909,233160,236610,240624,245228,247939,252146,256139,259919,262802,272185,276854,281514,288981,366343,373185,376672,380136,380613,385211,392483,395501,400649,405520,411215,416959,417024,417031,417031,422539,427714,433316,438521,441485,447289,452675,458121,458151,466575,474955,475208,483928,491258,498057,506061,513405,521100,521152,530137,537463,543906,300678.0
Jamnagar,161368,161466,161829,161904,161982,163376,167188,170862,173811,178534,183340,186071,188435,189571,191139,192096,192099,192099,193264,194786,196206,197145,198117,199078,200005,200923,201956,202779,203699,204156,204744,205288,205707,206308,210343,214654,218788,222833,226887,230490,234723,239781,244326,247830,251921,255859,259084,263100,266241,269090,271170,275214,279195,283453,286907,364137,367370,369683,372780,374465,378392,382540,386840,391406,394628,399268,402808,403550,404013,404436,409534,413209,417335,421900,424478,428650,432795,436457,436524,443876,451311,451518,461761,468320,472092,475206,479693,485528,486036,492794,500434,507773,298226.0
Jamnagar,98821,101038,103393,106372,108439,110660,112513,113621,114941,117165,119346,122143,124384,125820,127226,128670,128670,128670,128669,131080,133563,136010,138525,144570,150650,156799,162989,169412,175397,181201,187102,192934,197422,201894,206104,209382,211540,214620,218565,221763,226669,230618,233153,236490,239294,240851,243093,245673,248828,250405,251429,252940,255230,257264,259259,319505,323771,327814,329223,331396,333514,335661,337988,340317,343066,345962,348510,348510,348510,348510,350886,353247,355606,358127,359144,361777,364397,366768,366768,369999,373226,373226,379370,381919,384329,386510,389376,393029,393031,396701,400260,402068,249514.0
Junagadh,180356,180428,180686,181217,181628,182565,184440,185772,186260,187829,188961,189560,190740,190819,190820,190820,190820,190820,190820,192910,194994,196869,198503,200964,203562,205224,207275,209282,210593,211316,212958,214478,215481,216718,220382,223720,226792,230802,234457,237813,241652,245405,248954,251329,254394,255279,258599,259808,262953,264692,267228,274297,281232,287481,293689,396512,404404,410426,416997,424880,434332,441080,446732,452593,458126,464287,468944,468972,468972,468972,475467,480585,486368,491964,495767,501760,507644,513484,513488,522320,531168,531176,542148,549023,555520,562594,566665,573466,573544,582448,590120,593641,329609.0
Junagadh,57217,57670,58364,58839,59198,59702,60365,61048,61506,62100,62844,63389,63766,63765,63764,63764,63764,63764,63764,63764,64032,64249,64409,64680,64945,65216,65497,65791,66053,66137,66384,66758,66914,67098,69128,71224,73369,75516,77934,80097,82279,84541,86775,88958,91162,93340,95240,96894,98293,100043,100948,102885,104723,106265,108190,145407,149235,149814,153011,154524,156993,159390,161727,164952,167115,169598,172076,172295,172341,172344,175186,177079,178783,180754,182862,185020,187041,189438,189438,191655,193774,193775,196779,199314,202146,203307,206561,209824,209825,213318,216122,219451,116963.0
Kheda,317704,317985,319759,321244,322944,324666,326906,329000,330477,333945,337752,338509,341263,341436,341501,341501,341500,341499,341496,342323,343655,347485,349636,351035,353973,357096,360604,364383,367893,371421,375525,379197,381160,382892,389741,395307,401305,408385,416057,422804,429352,436569,444483,450671,457420,464612,470703,476562,483580,490295,494301,508005,518018,527617,537084,711140,725099,729884,734398,743732,753834,761423,769163,776973,784592,792493,799911,799925,799924,799924,807723,815331,823249,830942,834894,842683,850717,858627,858664,867521,876261,876398,885305,893153,900864,908968,909498,921032,921167,933322,940655,948625,566851.0
Kutch,279389,281442,283147,285434,287565,290223,292323,293835,295160,298171,300774,303192,305959,306983,307958,308867,308865,308865,308865,310985,313234,315346,317335,322637,327682,332684,337521,343153,349392,354563,360451,366117,371893,378076,384267,390663,396866,403537,410074,415643,420258,424774,429479,435332,441765,447804,453791,460167,466043,472654,478428,494438,506973,526335,540390,698241,714926,725225,732366,732899,748033,756051,764293,771609,777776,785012,792229,792435,792787,793272,800872,807117,814440,822581,829737,838783,847515,855707,856211,870324,884013,884510,902497,912320,922630,931864,939060,951747,953153,968775,980348,989034,555306.0
Mahisagar,242354,243272,244575,245178,245316,247065,249145,249922,250680,251984,253483,254611,255537,255671,255681,255681,255681,255681,255681,255934,256034,256190,256383,256467,256605,256717,257005,257231,257456,257697,258091,258397,258533,259036,261724,264546,266718,269013,271931,274563,277350,280495,283977,287418,290632,294064,297505,300371,303562,308505,313453,323052,329121,336102,343294,459006,466106,468775,473719,478196,478395,480760,483117,485652,488208,490695,494173,494181,494181,494181,496692,499299,501778,504146,506034,508542,510969,513360,513360,519059,524957,524961,530946,533995,536976,540996,544405,547206,547237,551128,554936,557501,365220.0
Mehsana,358103,361487,364819,368762,373435,376302,379838,381274,384990,388152,392825,395338,398394,400020,401587,403006,403001,403000,403000,405345,407875,411618,416644,425173,433128,441264,449277,456808,464640,472982,480989,488778,496428,503950,511347,518692,525945,533062,540238,547189,554381,561539,568546,575064,582444,589790,596745,601960,609015,623113,626795,645676,663145,678743,693702,888725,904814,913659,923633,932172,944405,954605,963571,972064,981543,992117,1000189,1000213,1000470,1000470,1009193,1017061,1024952,1033182,1039105,1047460,1055544,1063652,1063655,1074950,1085716,1085738,1097114,1105435,1113427,1123631,1129121,1137697,1137698,1146074,1156375,1163995,703509.0
Morbi,106123,106502,107119,107649,107972,110137,111611,113018,114082,115716,117623,118601,119957,119970,119973,119972,119972,119972,119972,120620,121182,121939,122236,123230,123980,124752,125458,126081,126741,127019,127797,128713,129446,130254,133832,137490,140848,144350,148284,150478,154243,157846,161442,164482,168029,171611,175040,178619,182056,185108,187824,194236,200911,205751,212249,283181,285063,288701,294175,297104,301202,307710,311797,321038,324449,328618,331363,331436,331515,331587,335853,339680,343680,347672,348695,352548,356369,360444,360503,368231,375558,375645,385826,390816,395623,401338,404821,412582,412656,421494,427900,431929,224227.0
Narmada,127816,128251,128472,128988,129810,130132,130918,131571,132142,133356,134192,134755,134954,135021,135105,135107,135106,135106,135108,135504,135693,135883,136226,136326,137151,137463,137545,137782,137916,138044,138203,138298,138342,138427,139927,141533,143217,144689,146156,147605,149039,150405,151938,153130,154795,155877,157281,158877,161137,163677,165327,168310,171137,173748,176866,240418,245062,249060,252906,256450,260186,262293,264505,267462,269782,272371,274811,274811,274811,274811,277205,279400,281635,283787,284341,286588,288668,290791,290803,295984,301296,301298,306542,309153,311694,313883,315044,318215,318234,321247,324440,326640,200174.0
Navsari,262991,263414,264570,266533,267714,268633,269516,271022,271254,272322,274465,274755,275801,275795,275790,275790,275790,275789,275789,276302,276924,277574,278753,279965,281383,282776,284085,285172,285967,286493,287068,287917,288384,288923,292976,297093,301209,305324,309484,313830,319334,324698,330606,334868,340832,346637,351045,353010,358503,368633,372344,389568,401164,408943,419556,572806,578915,588559,590980,601175,601773,607620,611227,616671,622124,627662,631894,631918,631940,631962,637665,642381,646763,652202,653698,658451,663397,668400,668400,674969,682739,682780,693493,700486,706299,712643,713297,719822,719918,726586,733709,739859,444459.0
Panchmahal,281518,282319,283461,284222,284884,285761,287809,289249,289666,291981,294185,295284,296468,296510,296516,296515,296514,296514,296512,296868,297390,298435,300154,302334,304339,306465,308526,309378,310831,311898,312471,313411,314088,314623,318176,322728,326571,331174,335627,336040,340933,345850,351019,355280,359576,364083,368681,373048,377588,386900,389859,397030,405721,413796,421389,573853,584509,586116,591422,591628,595467,603830,605964,610983,616776,623062,625136,625137,625137,625137,630254,635060,638956,643029,644064,649216,654499,659580,659580,669098,678632,678648,689618,695566,701298,707121,711897,718798,718837,726091,734288,739717,454524.0
Patan,173374,174172,176253,177613,179333,180801,182267,184698,186480,188296,190739,192116,193059,193118,193120,193120,193120,193120,193120,194740,196735,198657,200467,202649,204555,206606,208057,209623,211649,213122,214612,215957,217219,218665,224429,229600,234220,239520,244807,249758,256491,261661,266236,270736,275908,280742,284859,286633,291293,296719,299220,307309,317027,323109,330591,428334,436702,440607,445185,451043,457042,463176,469708,478391,486673,493618,499306,499324,499722,499747,509752,514034,519930,525621,528768,534343,541379,547639,547669,556097,563355,563428,572393,578930,584034,588272,594771,603995,604227,613664,621921,629706,346898.0
Porbandar,142777,143174,143861,144431,144793,145647,146379,146979,147233,147923,148647,148959,149352,149350,149350,149349,149349,149348,149348,149423,149580,149870,149994,150170,150344,150481,150679,150855,151037,151143,151294,151469,151589,151723,153678,155595,157622,159539,161634,163630,165730,167815,169900,172186,174284,176581,178675,180948,183058,186075,190471,195818,201694,207172,213364,297313,304667,307447,311951,314429,314940,316478,318131,319825,321555,323200,324804,324804,324804,324844,326548,328269,330159,331781,331844,333671,335397,337104,337104,340480,345259,345259,350772,354026,357292,361602,362905,366122,366124,370763,375105,376869,230272.0
Rajkot,231873,232698,234122,234974,237252,239163,240275,241769,244186,246892,249873,251264,252747,252755,252752,252752,252752,252752,252752,254715,256537,258391,259250,261386,263220,264843,266227,267623,269252,270369,271718,273167,274088,275409,281020,287015,292499,298273,304723,310959,317542,325732,334300,341109,349223,354480,360381,364888,372478,379038,382510,402778,420124,433539,446228,576059,586047,593625,602521,615345,624970,634843,642375,655722,664081,672924,676735,676736,676736,676736,685350,693850,702507,711119,713923,722481,731047,747706,747706,758947,770291,770291,787309,796164,804976,812969,815038,828627,828709,841577,853198,860312,462589.0
Rajkot,264391,270812,277450,288107,294650,300535,305530,310494,315224,322259,328659,335605,342365,347066,351871,356531,356531,356531,356531,364183,372451,380571,388375,407723,426871,445904,464809,482328,500545,518343,536963,553027,564125,571856,579724,587154,591381,596343,602294,610357,616663,623406,631620,635792,640943,647560,652982,656114,659629,663909,666265,669779,675032,681458,685715,860554,865673,871703,876603,879911,886937,897182,907522,916703,924653,933707,939937,940069,940290,940713,949976,958311,966296,974756,977805,986720,995544,1004399,1004487,1013010,1021737,1021916,1034201,1042923,1051775,1061018,1064309,1076957,1077326,1091381,1104637,1111413,680504.0
Sabarkantha,259900,261483,263293,264108,267241,268960,270882,273073,274108,275629,277021,277064,277961,277983,277982,277982,277982,277982,277981,279657,281377,283149,284826,286611,288834,290944,293099,295582,297887,300516,302510,304477,306228,307652,312398,317304,322000,326718,331410,336295,341222,346086,351058,355771,360692,365850,371636,373711,379361,384482,388266,403954,415956,426032,436923,574430,584851,588429,593915,601171,601237,606412,610786,615272,619430,623878,628370,628370,628370,628381,632927,637372,641877,646434,648214,652758,657202,661429,661429,669297,676880,676880,684512,690082,695624,701424,705978,714027,714027,723265,729781,734701,449114.0
Surat,198787,200196,201954,202767,203482,205685,206800,206928,208621,211125,214247,214451,216037,215943,215893,215892,215892,215892,215892,216086,216482,217580,218099,219446,220540,221649,223302,224861,226421,227901,229678,230939,232047,234220,239724,245441,251487,257835,264446,269966,277170,284136,291397,297345,304600,312629,319482,327323,334801,345061,352653,370014,380398,393489,409089,525592,541775,549958,560753,571664,574479,587600,594096,602394,608659,617467,623114,623413,624045,624218,632392,639729,648184,656523,658335,666294,673926,687518,687624,699966,713541,714045,730503,741967,751034,760468,763284,776809,777129,790340,800849,808654,418289.0
Surat,764891,771321,777407,787540,792954,800305,806712,815192,819857,825263,833104,843220,852980,858291,863631,868532,868525,868518,868516,877997,887141,896226,905167,925403,945599,965792,986244,1006752,1027505,1047140,1067720,1088800,1109468,1130644,1152418,1173978,1194209,1216189,1228490,1249889,1262220,1284370,1307577,1328184,1351509,1375879,1400578,1424748,1444941,1466344,1485843,1516866,1549122,1582670,1613218,2008324,2040578,2053738,2078895,2114868,2152819,2172556,2191993,2224245,2244497,2265136,2270688,2271807,2272845,2273793,2289578,2306058,2327592,2348868,2363221,2383497,2403816,2430431,2430879,2457230,2490515,2491441,2531239,2563712,2589154,2616193,2628275,2653610,2655152,2679885,2704447,2725280,1596418.0
Surendranagar,143680,143982,145638,147129,148130,149449,151269,152426,153309,155200,157021,158016,158630,158847,158857,158855,158854,158853,158853,160515,162625,164296,165742,167828,170959,173138,175613,178539,180658,182157,184370,186475,187762,189464,195483,201423,207443,215058,222451,229233,236741,245255,253587,260039,269217,275874,284158,290346,299598,308981,313517,331217,341727,355019,366711,462098,469710,476449,482685,491661,499107,506646,513358,523795,532465,542784,548481,548704,548853,548853,558766,562978,571856,578776,582772,590207,598372,604944,605000,616085,626503,626547,640874,649916,657153,663870,666476,677017,677500,688125,695919,702377,356390.0
Tapi,120698,121749,123279,124644,125158,126104,126932,128275,129136,130034,131363,131772,132718,132712,132698,132698,132698,132698,132698,133375,134024,134946,135922,137170,138637,140129,141805,143992,146093,147817,149604,151249,153038,155160,158602,162452,165079,169045,173674,176995,180195,184159,188050,190374,194232,197740,201139,203733,207494,211601,213866,219061,224480,229204,234462,287467,292642,295952,300754,301849,305631,310780,313962,318228,322574,327138,330100,330100,330100,330100,334585,338947,343107,346708,350609,355088,359537,363948,363948,369073,373817,373817,379025,383355,387506,392150,394243,398836,398859,403206,406878,410932,234807.0
Vadodara,287665,287840,288653,289664,290784,291257,291641,293258,294201,296065,298397,299805,301184,301921,302369,302570,302569,302569,302578,303381,304990,306469,309063,312286,315191,317924,320744,324215,328087,330599,332892,335313,337931,340875,347216,353894,359801,366420,372782,379277,385708,393614,400760,406687,413526,420763,427841,434977,442366,450058,455450,468505,481041,491187,503203,631936,647591,652593,661614,671919,680030,687849,694306,705491,713052,720246,723307,723311,723438,723562,730849,737521,744427,749188,748520,755352,762349,777693,777869,789252,802436,802480,819571,828874,838346,848806,853381,863919,864025,876242,887056,894667,514273.0
Vadodara,385553,395626,402633,409849,413414,421302,428360,435429,441606,448431,456066,463957,472654,477634,482493,487581,487581,487581,487581,496615,505840,514972,523974,544367,564587,584760,605721,626937,648719,669921,690871,711611,730239,744853,758106,771074,780959,790929,801418,811635,820821,830972,843575,852871,862152,870429,877884,883727,888749,896801,902269,910766,918457,925483,931778,1152055,1162246,1170175,1181416,1195342,1208685,1223047,1236601,1254062,1269238,1284934,1296146,1296433,1296585,1296841,1309494,1323738,1335691,1350055,1356253,1369960,1384448,1399916,1400011,1414977,1429433,1429780,1447538,1462777,1480511,1489804,1504155,1518604,1519008,1535270,1549582,1563338,931286.0
